N,q,N2_func,mobile,n,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
300,0.001,5,True,3.0,2.0,0_1_20,1000,1000,0,1,1.3107560359204753,0,1.0,0.0
300,0.002,5,True,3.0,3.0,0_1_21,1000,1000,2,0,0.31235510539177924,0,1.0,0.0
300,0.003,5,True,5.0,5.0,0_1_22,1000,1000,4,4,0.45223360897027837,0,1.0,0.0
300,0.004,5,True,8.0,6.0,0_1_23,1000,1000,3,2,1.9612273584267101,0,1.0,0.0
300,0.005,5,True,9.0,8.0,0_1_24,1000,1000,7,4,1.074742796066746,0,1.0,0.0
300,0.006,5,True,13.0,9.0,0_1_25,1000,1000,6,5,3.0147613254621706,0,1.0,0.0
300,0.007,5,True,13.0,11.0,0_1_26,1000,1000,9,8,2.0306459243765467,0,1.0,0.0
300,0.008,5,True,13.0,12.0,0_1_27,1000,1000,4,9,3.9115997789378576,0,1.0,0.0
300,0.009,5,True,14.0,14.0,0_1_28,1000,1000,8,14,2.740167778804706,0,1.0,0.0
300,0.01,5,True,18.0,15.0,0_1_29,1000,1000,4,11,6.535400615232452,0,1.0,0.0
400,0.001,5,True,2.0,2.0,0_1_30,1000,1000,1,1,0.1345445466464561,0,1.0,0.0
400,0.002,5,True,6.0,4.0,0_1_31,1000,1000,2,0,0.9853227409669661,0,1.0,0.0
400,0.003,5,True,6.0,6.0,0_1_32,1000,1000,4,1,0.33591166591767135,0,1.0,0.0
400,0.004,5,True,11.0,8.0,0_1_33,1000,1000,4,3,1.9987057299061863,0,1.0,0.0
400,0.005,5,True,13.0,10.0,0_1_34,1000,1000,2,4,3.96614509573016,0,1.0,0.0
400,0.006,5,True,15.0,12.0,0_1_35,1000,1000,3,5,4.196007261848424,0,1.0,0.0
400,0.007,5,True,17.0,15.0,0_1_36,1000,1000,8,6,2.6930807285483476,0,1.0,0.0
400,0.008,5,True,19.0,16.0,0_1_37,1000,1000,9,7,3.0715865656318844,0,1.0,0.0
